 minimum eigenvalues =   1.358243135721741E-005   2.11065408151136     
   3.06178652542353     
 maximum eigenvalues =    2479.41058422081        633.932803650868     
   208.683575636238     
 num eigs kept =           64
 iter   116 lrate =  1.0000000000 LL =  -2.5820973510 nd =  0.0009526501, D =   0.10268E+00  0.10268E+00  (  0.75 s,   0.4 h)
 iter   117 lrate =  1.0000000000 LL =  -2.5820356430 nd =  0.0009368863, D =   0.10285E+00  0.10285E+00  (  0.82 s,   0.4 h)
 iter   118 lrate =  1.0000000000 LL =  -2.5819752967 nd =  0.0009254482, D =   0.10302E+00  0.10302E+00  (  0.83 s,   0.4 h)
 iter   119 lrate =  1.0000000000 LL =  -2.5819163388 nd =  0.0009161780, D =   0.10319E+00  0.10319E+00  (  0.71 s,   0.4 h)
 iter   120 lrate =  1.0000000000 LL =  -2.5818583141 nd =  0.0009062174, D =   0.10333E+00  0.10333E+00  (  0.72 s,   0.4 h)
 iter   121 lrate =  1.0000000000 LL =  -2.5818012832 nd =  0.0008976926, D =   0.10347E+00  0.10347E+00  (  1.19 s,   0.6 h)
 iter   122 lrate =  1.0000000000 LL =  -2.5817451739 nd =  0.0008843815, D =   0.10363E+00  0.10363E+00  (  0.72 s,   0.4 h)
 iter   123 lrate =  1.0000000000 LL =  -2.5816903910 nd =  0.0008731159, D =   0.10378E+00  0.10378E+00  (  0.74 s,   0.4 h)
 iter   124 lrate =  1.0000000000 LL =  -2.5816366889 nd =  0.0008664233, D =   0.10393E+00  0.10393E+00  (  0.75 s,   0.4 h)
 iter   125 lrate =  1.0000000000 LL =  -2.5815835505 nd =  0.0008569221, D =   0.10409E+00  0.10409E+00  (  0.79 s,   0.4 h)
 iter   126 lrate =  1.0000000000 LL =  -2.5815314781 nd =  0.0008510234, D =   0.10424E+00  0.10424E+00  (  0.88 s,   0.5 h)
 iter   127 lrate =  1.0000000000 LL =  -2.5814796595 nd =  0.0008480953, D =   0.10441E+00  0.10441E+00  (  0.73 s,   0.4 h)
 iter   128 lrate =  1.0000000000 LL =  -2.5814288008 nd =  0.0008424220, D =   0.10458E+00  0.10458E+00  (  0.71 s,   0.4 h)
 iter   129 lrate =  1.0000000000 LL =  -2.5813783346 nd =  0.0008397937, D =   0.10475E+00  0.10475E+00  (  0.71 s,   0.4 h)
 iter   130 lrate =  1.0000000000 LL =  -2.5813281579 nd =  0.0008310469, D =   0.10492E+00  0.10492E+00  (  0.71 s,   0.4 h)
 iter   131 lrate =  1.0000000000 LL =  -2.5812789036 nd =  0.0008257307, D =   0.10509E+00  0.10509E+00  (  1.30 s,   0.7 h)
 iter   132 lrate =  1.0000000000 LL =  -2.5812304727 nd =  0.0008189326, D =   0.10526E+00  0.10526E+00  (  0.77 s,   0.4 h)
 iter   133 lrate =  1.0000000000 LL =  -2.5811826520 nd =  0.0008151837, D =   0.10543E+00  0.10543E+00  (  0.78 s,   0.4 h)
 iter   134 lrate =  1.0000000000 LL =  -2.5811350620 nd =  0.0008125965, D =   0.10563E+00  0.10563E+00  (  0.71 s,   0.4 h)
 iter   135 lrate =  1.0000000000 LL =  -2.5810880823 nd =  0.0008101389, D =   0.10583E+00  0.10583E+00  (  0.72 s,   0.4 h)
 iter   136 lrate =  1.0000000000 LL =  -2.5810410546 nd =  0.0008067247, D =   0.10602E+00  0.10602E+00  (  0.72 s,   0.4 h)
 iter   137 lrate =  1.0000000000 LL =  -2.5809942727 nd =  0.0008057266, D =   0.10624E+00  0.10624E+00  (  0.71 s,   0.4 h)
